asset_id,asset_title,asset_type,description,format_type,owner_division,owner_email,front_end_url,resource_url,source_catalog,source_group,data_category,update_frequency,objective,tags,geo_coverage,created_date,last_updated
"MED-051","ข้อเสนอแนะเชิงนโยบายและคู่มือแนวทางการเข้าถึงแหล่งงบประมาณในประเทศและระหว่างประเทศของหน่วยงาน","Knowledge Asset","ชื่อเรื่อง: ข้อเสนอแนะเชิงนโยบายและคู่มือแนวทางการเข้าถึงแหล่งงบประมาณในประเทศและระหว่างประเทศของหน่วยงาน เพื่อดำเนินกิจกรรมด้านการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศของประเทศไทย | เผยแพร่โดย: กรมการเปลี่ยนแปลงสภาพภูมิอกาศและสิ่งแวดล้อม | ครั้งที่พิมพ์: ครั้งที่ 1 พ.ศ.2568 | จำนวนเล่ม: 500 เล่ม |","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/19262/","https://www.dcce.go.th/media/19262/?download_file=1&file_id=19263","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-052","มาตรการลดการใช้พลังงานและน้ำมันเชื้อเพลิงในหน่วยงาน ประหยัดพลังงานเพื่อความมั่นคงของประเทศ","Knowledge Asset","ลิงก์ Content: https://www.dcce.go.th/19236/","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/19241/","https://www.dcce.go.th/media/19241/?download_file=1&file_id=19237","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-053","อุปกรณ์ตรวจวัดกลิ่น","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17913/","https://www.dcce.go.th/media/17913/?download_file=1&file_id=17911","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-054","สารตกค้างในปุ๋ยอินทรีย์และวัสดุปรับปรุงดิน","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17909/","https://www.dcce.go.th/media/17909/?download_file=1&file_id=17908","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-055","การจำแนกภาวะคุกคามของสารอันตราย","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17906/","https://www.dcce.go.th/media/17906/?download_file=1&file_id=17905","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-056","พฤติกรรมผู้บริโภคในการบริโภคสินค้า","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17902/","https://www.dcce.go.th/media/17902/?download_file=1&file_id=17904","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-057","การศึกษาการป้องกันการแพร่กระจายของฝุ่นละอองด้วยการเพิ่มพื้นที่สีเขียว","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17899/","https://www.dcce.go.th/media/17899/?download_file=1&file_id=17900","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-058","ผงเหล็ก สำหรับการบำบัดฟื้นฟูน้ำใต้ดิน","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17893/","https://www.dcce.go.th/media/17893/?download_file=1&file_id=17895","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-059","การศึกษาการแพร่กระจายและการปนเปื้อนของสารปรอทในสิ่งแวดล้อม","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17892/","https://www.dcce.go.th/media/17892/?download_file=1&file_id=17891","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-060","การประเมินประสิทธิภาพ การบำบัดฟื้นฟูน้ำใต้ดิน","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17887/","https://www.dcce.go.th/media/17887/?download_file=1&file_id=17889","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
